date,NOx/Nmhc,O3
2002/1/1,55.3597122302,72.3
2002/1/2,92.1829268293,73.4
2002/1/3,78.9696969697,81.7
2002/1/4,184.692307692,104.9
2002/1/5,168.925,99.2
2002/1/6,57.9942857143,98.5
2002/1/7,126.136752137,62.5
2002/1/8,96.256,98.3
2002/1/9,103.221105528,85.5
2002/1/10,121.892473118,66.0
2002/1/11,117.164179104,79.2
2002/1/12,119.06097561,83.6
2002/1/13,205.257142857,96.4
2002/1/14,62.8486842105,126.2
2002/1/15,73.3818181818,73.6
2002/1/16,96.1304347826,38.9
2002/1/17,104.857142857,65.8
2002/1/18,98.974789916,67.2
2002/1/19,195.492063492,57.8
2002/1/20,105.506666667,70.1
2002/1/21,147.953488372,55.8
2002/1/22,74.5841584158,59.9
2002/1/23,70.2364864865,74.2
2002/1/24,88.9339622642,72.3
2002/1/25,62.7005988024,38.0
2002/1/26,83.3333333333,63.6
2002/1/27,96.2083333333,9.4
2002/1/28,89.0495049505,23.9
2002/1/29,103.065217391,42.9
2002/1/30,97.2330097087,88.7
2002/1/31,106.298245614,91.8
2002/2/2,158.078947368,45.1
2002/2/3,63.5256410256,79.1
2002/2/4,72.5755813953,101.6
2002/2/5,86.6049382716,80.6
2002/2/6,81.843902439,85.7
2002/2/7,65.2602739726,68.4
2002/2/8,69.7573529412,93.3
2002/2/9,61.6086956522,85.7
2002/2/10,59.3165467626,62.9
2002/2/11,75.3333333333,52.2
2002/2/12,51.2272727273,75.8
2002/2/13,70.9764705882,97.9
2002/2/14,97.5,99.6
2002/2/15,84.375,68.7
2002/2/16,92.2608695652,73.8
2002/2/17,101.743589744,65.7
2002/2/18,61.4712643678,80.8
2002/2/19,98.8811881188,90.2
2002/2/20,121.656565657,70.1
2002/2/21,86.8888888889,94.3
2002/2/22,44.6324324324,77.3
2002/2/23,50.3560606061,101.8
2002/2/24,130.857142857,62.7
2002/2/25,80.8769230769,63.9
2002/2/26,94.9833333333,118.0
2002/2/27,93.1395348837,80.5
2002/2/28,122.056603774,95.0
2002/3/1,69.1709401709,80.2
2002/3/2,79.4434782609,84.8
2002/3/3,88.125,99.7
2002/3/4,109.974358974,78.0
2002/3/5,155.298507463,87.1
2002/3/6,110.25,59.4
2002/3/7,59.8670886076,74.2
2002/3/8,98.4666666667,96.0
2002/3/9,100.833333333,96.1
2002/3/10,111.0,78.3
2002/3/11,115.945205479,91.7
2002/3/12,105.789915966,94.1
2002/3/13,85.4179104478,105.0
2002/3/14,298.470588235,38.6
2002/3/15,86.5573770492,46.6
2002/3/16,165.355555556,29.1
2002/3/17,103.098360656,68.7
2002/3/18,71.0340909091,72.6
2002/3/19,149.58490566,64.4
2002/3/20,167.24,96.1
2002/3/21,113.829268293,85.4
2002/3/22,131.421052632,37.9
2002/3/23,106.878787879,52.2
2002/3/24,133.705882353,79.1
2002/3/25,128.655172414,67.2
2002/3/26,70.6730769231,86.1
2002/3/27,55.21875,53.0
2002/3/28,117.314285714,85.3
2002/3/29,102.426229508,36.7
2002/3/30,191.071428571,29.5
2002/4/1,89.2391304348,77.2
2002/4/2,94.96,60.9
2002/4/3,113.268292683,42.9
2002/4/4,83.6216216216,65.5
2002/4/5,74.696969697,95.2
2002/4/6,289.666666667,38.0
2002/4/7,73.0888888889,29.4
2002/4/8,145.0,37.5
2002/4/9,154.342105263,64.6
2002/4/10,109.542857143,66.2
2002/4/11,106.247706422,93.6
2002/4/12,151.5,53.7
2002/4/13,60.4293193717,92.7
2002/4/14,80.1212121212,66.2
2002/4/15,101.931034483,29.1
2002/4/16,150.789473684,23.6
2002/4/17,86.8636363636,93.3
2002/4/18,0.0,50.3
2002/4/19,114.924242424,92.4
2002/4/20,112.6875,83.4
2002/4/21,195.882352941,29.9
2002/4/22,140.777777778,32.8
2002/4/23,176.888888889,95.2
2002/4/24,74.3506493506,57.4
2002/4/25,105.88,72.1
2002/4/26,105.564102564,89.3
2002/4/27,81.1296296296,140.1
2002/4/28,89.7948717949,79.4
2002/4/29,80.8888888889,62.1
2002/4/30,130.612903226,98.9
2002/5/1,162.696969697,107.4
2002/5/2,109.066666667,97.4
2002/5/3,177.721311475,91.2
2002/5/4,114.772727273,102.6
2002/5/5,79.7931034483,55.7
2002/5/6,163.266666667,67.5
2002/5/7,311.444444444,57.7
2002/5/8,219.666666667,63.4
2002/5/9,98.9,58.8
2002/5/10,120.130434783,70.1
2002/5/11,120.217391304,63.5
2002/5/12,206.7,69.5
2002/5/13,82.2372881356,67.3
2002/5/14,129.944444444,35.8
2002/5/15,67.5357142857,32.9
2002/5/16,104.516129032,45.2
2002/5/17,174.0,36.6
2002/5/18,74.5168539326,83.5
2002/5/19,199.9,80.0
2002/5/20,77.4545454545,42.7
2002/5/21,119.764705882,67.5
2002/5/22,135.588235294,21.2
2002/5/23,155.958333333,65.3
2002/5/24,91.3815789474,116.6
2002/5/25,38.3815789474,89.6
2002/5/26,53.2222222222,73.6
2002/5/27,271.538461538,63.2
2002/5/28,160.333333333,76.3
